845.029601743 0.000000 0.000000 0.000000 -0.000000 -0.000000 0.000000 1.000000
845.062918076 0.001674 0.002854 -0.005155 0.001173 -0.004075 -0.001153 0.999990
845.096234409 0.005987 0.004648 -0.009384 0.001562 -0.007564 -0.002349 0.999967
845.129550742 0.010849 0.006233 -0.012883 0.002889 -0.011021 -0.003789 0.999928
845.162867076 0.015058 0.007113 -0.017180 0.002008 -0.015085 -0.004701 0.999873
845.196183409 0.020156 0.006735 -0.020611 0.001023 -0.019269 -0.005736 0.999797
845.229649742 0.024657 0.006647 -0.024454 -0.002627 -0.023310 -0.007344 0.999698
845.262966038 0.029566 0.005144 -0.027264 -0.004473 -0.027487 -0.008430 0.999577
845.296282409 0.034509 0.003445 -0.030196 -0.007718 -0.031453 -0.007282 0.999449
845.329598742 0.039472 0.000752 -0.032125 -0.012286 -0.036573 -0.005868 0.999238
845.362915042 0.044879 -0.003408 -0.033648 -0.017044 -0.040866 -0.004648 0.999008
845.396231409 0.048169 -0.007925 -0.035206 -0.022722 -0.044596 -0.003461 0.998741
845.429547714 0.052494 -0.012338 -0.036272 -0.027208 -0.047682 -0.001725 0.998490
845.462864700 0.056567 -0.017917 -0.036775 -0.030921 -0.051099 0.000217 0.998215
845.496180376 0.059300 -0.022841 -0.036568 -0.034724 -0.054350 0.002494 0.997915
845.529496709 0.061756 -0.027593 -0.036028 -0.027198 -0.058575 0.002825 0.997908
845.562963047 0.063852 -0.033671 -0.036047 -0.018086 -0.062599 0.003376 0.997869
845.596279409 0.065582 -0.037916 -0.036211 0.001352 -0.066522 0.002155 0.997782
845.629595742 0.065830 -0.044105 -0.037065 0.012157 -0.067951 0.003347 0.997609
845.662912042 0.064050 -0.053575 -0.037942 0.006590 -0.064724 0.009644 0.997835
845.696228409 0.063351 -0.059749 -0.040102 0.019514 -0.062656 0.012062 0.997771
845.729544714 0.060727 -0.069132 -0.042442 0.020546 -0.055840 0.016460 0.998093
845.762861076 0.058784 -0.074591 -0.046441 0.043009 -0.050819 0.016167 0.997650
845.796177409 0.055134 -0.083277 -0.050048 0.046411 -0.043201 0.017633 0.997832
845.829493742 0.052061 -0.089146 -0.052969 0.056113 -0.038425 0.018507 0.997513
845.862810042 0.047976 -0.098891 -0.053223 0.038487 -0.031683 0.021538 0.998524
845.896126376 0.043846 -0.104992 -0.053483 0.034294 -0.027911 0.024363 0.998725
845.929592709 0.039131 -0.111918 -0.051722 0.019061 -0.022793 0.028029 0.999165
845.962909076 0.034046 -0.116205 -0.051288 0.013371 -0.017620 0.032131 0.999239
845.996225409 0.028807 -0.119920 -0.048849 0.003269 -0.011691 0.036792 0.999249
846.029541742 0.023135 -0.122707 -0.049202 0.005438 -0.007963 0.039111 0.999188
846.062858047 0.017629 -0.124626 -0.047911 0.000348 -0.002886 0.039925 0.999198
846.096174409 0.012316 -0.125132 -0.047235 0.000788 0.000689 0.041818 0.999125
846.129490742 0.006228 -0.124161 -0.044696 -0.005153 0.006644 0.045341 0.998936
846.162807076 0.001015 -0.122875 -0.044600 0.000088 0.009613 0.047444 0.998828
846.196123380 -0.004357 -0.121001 -0.042680 0.001045 0.013712 0.048125 0.998747
846.229439714 -0.009627 -0.118795 -0.041860 0.009027 0.016654 0.048859 0.998626
846.262906042 -0.014911 -0.115404 -0.038827 0.010504 0.021690 0.049672 0.998475
846.296222376 -0.019867 -0.111275 -0.037122 0.017341 0.024460 0.049745 0.998312
846.329538709 -0.024918 -0.106771 -0.034535 0.023423 0.028880 0.050373 0.998038
846.362855076 -0.028989 -0.101688 -0.031445 0.031357 0.031881 0.050690 0.997713
846.396171409 -0.033289 -0.095765 -0.029129 0.037112 0.034433 0.049759 0.997477
846.429487714 -0.037115 -0.089281 -0.027447 0.044858 0.036369 0.048461 0.997154
846.462804076 -0.040493 -0.082106 -0.025143 0.051725 0.039027 0.048067 0.996740
846.496120376 -0.043756 -0.073482 -0.024196 0.058466 0.041001 0.047190 0.996330
846.529436709 -0.045849 -0.065149 -0.022142 0.069711 0.042795 0.046326 0.995572
846.562753071 -0.047643 -0.055373 -0.020726 0.079647 0.042971 0.044701 0.994893
846.596069409 -0.048430 -0.045202 -0.018815 0.091556 0.044100 0.043599 0.993867
846.629535709 -0.048771 -0.034968 -0.018363 0.102637 0.042815 0.042352 0.992894
846.662852042 -0.050591 -0.021133 -0.032012 0.022706 0.039116 0.049721 0.997739
846.696168409 -0.050252 -0.011243 -0.036817 0.013520 0.034764 0.049636 0.998071
846.729484742 -0.048338 -0.001645 -0.037980 0.022357 0.032354 0.049746 0.997987
846.762801042 -0.045932 0.008061 -0.039815 0.032209 0.029959 0.047162 0.997918
846.796117347 -0.042786 0.016605 -0.041634 0.039646 0.026982 0.046794 0.997753
846.829433742 -0.038825 0.024452 -0.044334 0.047589 0.022262 0.043240 0.997682
846.862750076 -0.034531 0.031702 -0.046618 0.053292 0.016258 0.038011 0.997723
846.896066404 -0.029128 0.037951 -0.049207 0.059625 0.010739 0.033662 0.997595
846.929382742 -0.023641 0.043883 -0.052410 0.062314 0.005442 0.032188 0.997523
